frameNumber,x,y,z,velocity,snr,noise
59,-0.8549444079399109,0.39225462079048157,-0.264367938041687,0.0,227,542
59,0.0,24.316471099853516,2.3209338188171387,0.0,125,449
60,-0.5190733671188354,0.7730157375335693,0.29613083600997925,0.0,231,542
60,-0.885478138923645,0.3581596314907074,-0.20575277507305145,0.0,231,542
60,0.0,24.192625045776367,3.375558614730835,0.0,148,433
61,-0.5190733671188354,0.7871021628379822,0.2563532590866089,0.0,232,540
61,-0.885478138923645,0.3194288909435272,-0.2618734538555145,0.0,232,540
61,0.0,24.2445068359375,2.980168342590332,0.0,139,443
62,-0.4885396659374237,0.7858783006668091,0.3137010335922241,0.0,219,539
62,-0.8549444079399109,0.42756903171539307,-0.2023334801197052,0.0,219,539
62,0.0,24.204702377319336,3.287837266921997,0.0,128,448
63,-0.3969384729862213,0.2794364094734192,-0.05501042306423187,0.0,200,562
63,-0.5496070981025696,1.3487650156021118,0.16371838748455048,0.0,268,507
63,0.0,24.273130416870117,2.7372677326202393,0.0,135,442
64,-0.3969384729862213,0.274138867855072,-0.07719287276268005,0.0,188,573
64,-0.07633432000875473,0.36618295311927795,-0.3142516613006592,0.0,188,573
64,-0.6106745600700378,1.8489069938659668,0.16539478302001953,0.0,286,493
64,-0.6717420220375061,5.3290605545043945,0.17049090564250946,0.0,150,422
64,0.0,23.926401138305664,4.919843673706055,0.0,139,432
65,-0.6106745600700378,1.8430047035217285,0.22168950736522675,0.0,283,496
65,-0.641208291053772,3.355607509613037,0.1537182480096817,0.0,197,449
65,-0.5038065314292908,5.34536075592041,0.229098841547966,0.0,139,435
65,-1.557220220565796,24.150497436523438,5.925526142120361,0.0,120,450
66,-0.5496070981025696,1.8680667877197266,0.16430073976516724,0.0,278,499
66,-0.6717420220375061,5.313301086425781,0.4436069130897522,0.0,160,419
67,-0.3511378765106201,0.33547109365463257,-0.05321970954537392,0.0,192,572
67,-0.15266864001750946,0.21840108931064606,0.40946826338768005,0.0,192,572
67,-0.5496070981025696,1.3399434089660645,0.22477218508720398,0.0,260,518
67,-0.8396775126457214,5.3046183586120605,-0.18749839067459106,0.0,131,426
67,0.0,24.642688751220703,3.6771230697631836,0.0,131,442
