frameNumber,x,y,z,velocity,snr,noise
1878,-0.5190733671188354,0.7225388884544373,-0.40396079421043396,0.0,159,589
1878,-0.21373610198497772,0.9151058793067932,0.2675483226776123,0.0,159,589
1878,-0.320604145526886,3.386289119720459,0.3537490963935852,0.0,159,507
1878,-0.3053372800350189,4.76212215423584,1.046928882598877,0.0,147,486
1,-0.3664047420024872,0.8899667263031006,0.16849581897258759,0.0,178,588
1,-0.7328094840049744,0.5304359197616577,-0.3692046105861664,0.0,178,588
2,-0.3664047420024872,0.8897320628166199,0.16973039507865906,0.0,178,588
2,-0.7022757530212402,0.5395625233650208,-0.41275301575660706,0.0,178,588
3,-0.3664047420024872,0.8814839720726013,0.20836876332759857,0.0,177,589
3,-0.7328094840049744,0.5427360534667969,-0.35087302327156067,0.0,177,589
3,-0.3664047420024872,3.8867921829223633,0.1831360161304474,0.0,116,527
4,-0.3664047420024872,0.8795682191848755,0.21631301939487457,0.0,168,587
4,-0.7328094840049744,0.5809230208396912,-0.28320086002349854,0.0,168,587
4,-0.4885396659374237,1.8638556003570557,0.3257414698600769,0.0,191,569
4,-0.24426983296871185,3.8964779376983643,0.1809321790933609,0.0,115,527
5,-0.4885396659374237,1.843243956565857,0.42721983790397644,0.0,191,566
5,-0.24426983296871185,3.8989949226379395,0.11451979726552963,0.0,114,525
6,-0.4885396659374237,1.8564183712005615,0.365754097700119,0.0,194,566
7,-0.4885396659374237,1.855560064315796,0.3700832724571228,0.0,197,564
8,-0.3969384729862213,0.28276675939559937,-0.03396770358085632,0.0,166,597
8,-0.2748035490512848,0.21625475585460663,-0.3411566913127899,0.0,166,597
8,-0.4885396659374237,1.8640788793563843,0.3244609832763672,0.0,198,565
9,-0.3969384729862213,0.28323981165885925,-0.029766729101538658,0.0,168,597
9,-0.2748035490512848,0.25550854206085205,-0.31284084916114807,0.0,168,597
9,-0.4885396659374237,1.8671412467956543,0.30634742975234985,0.0,198,566
10,-0.4885396659374237,1.8753870725631714,0.25097522139549255,0.0,199,566
11,-0.4885396659374237,1.879940152168274,0.21421897411346436,0.0,199,566
12,-0.3969384729862213,0.8892949223518372,0.07923639565706253,0.0,180,586
12,-0.7633432149887085,0.6087890863418579,-0.03697304055094719,0.0,180,586
12,-0.5496070981025696,1.8662474155426025,0.18381667137145996,0.0,199,567
